emp_no,first_name,last_name,title,dept_no
10001,Georgi,Facello,Senior Engineer,d005
10004,Chirstian,Koblick,Senior Engineer,d004
10009,Sumant,Peac,Senior Engineer,d006
10018,Kazuhide,Peha,Senior Engineer,d004
10035,Alain,Chappelet,Senior Engineer,d004
10053,Sanjiv,Zschoche,Senior Staff,d007
10058,Berhard,McFarlin,Senior Staff,d001
10066,Kwee,Schusler,Senior Engineer,d005
10067,Claudi,Stavenow,Senior Engineer,d006
10070,Reuven,Garigliano,Technique Leader,d008
10072,Hironoby,Sidou,Senior Engineer,d005
10076,Erez,Ritzmann,Senior Engineer,d005
10088,Jungsoon,Syrzycki,Senior Staff,d009
10100,Hironobu,Haraldson,Senior Staff,d003
10103,Akemi,Birch,Engineer,d005
10126,Kayoko,Valtorta,Senior Staff,d009
10129,Armond,Peir,Technique Leader,d005
10130,Nishit,Casperson,Senior Engineer,d004
10134,Diederik,Siprelle,Senior Engineer,d004
10138,Perry,Shimshoni,Senior Engineer,d006
10150,Zhenbing,Perng,Senior Engineer,d005
10153,Heekeun,Majewski,Assistant Engineer,d005
10157,Nigel,Aloisi,Senior Engineer,d005
10198,Pranav,Furedi,Senior Engineer,d005
10215,Xiaobin,Duclos,Senior Staff,d007
10224,Leon,Trogemann,Senior Engineer,d004
10233,Lein,Vendrig,Senior Staff,d003
10258,Basil,Ishibashi,Senior Engineer,d005
10272,Yishai,Cannane,Staff,d002
10282,Hercules,Benzmuller,Engineer,d004
10283,Kauko,Birjandi,Senior Engineer,d005
10326,Masali,Czap,Staff,d008
10340,Djelloul,Laventhal,Senior Staff,d001
10347,Pradeep,Kaminger,Staff,d008
10355,Satyanarayana,Cochrane,Staff,d007
10356,Vasilis,Standera,Senior Staff,d008
10364,Nakhoon,Dengi,Senior Engineer,d004
10372,Anneli,Frijda,Technique Leader,d004
10387,Parto,Wrigley,Senior Staff,d009
10396,Sibyl,Rahier,Senior Engineer,d005
10402,Volkmar,Ebeling,Technique Leader,d006
10404,Prodip,Rosti,Senior Engineer,d005
10426,Arunas,Luce,Technique Leader,d005
10429,Martien,Improta,Senior Engineer,d005
10432,Hisao,Tiemann,Senior Staff,d009
10451,Bodh,Ranta,Senior Engineer,d004
10453,Tsvetan,Matzel,Senior Staff,d009
10463,Ung,Zaiane,Staff,d007
10486,Amstein,Kossowski,Senior Engineer,d006
10494,Yakkov,Servieres,Senior Engineer,d004
10504,Xiong,Varker,Staff,d007
10512,Udi,Gihr,Senior Staff,d003
10522,Marke,Cesareni,Senior Staff,d003
10548,Ramalingam,Gunderson,Senior Staff,d001
10564,Jianhao,Thisen,Senior Engineer,d004
10623,Aleksander,Danlos,Senior Engineer,d008
10628,Krisda,Krogh,Senior Engineer,d005
10631,Inderjeet,Chaudhuri,Engineer,d005
10642,Hirochika,Narlikar,Engineer,d005
10653,Otmar,Feinberg,Senior Engineer,d005
10671,Parviz,Rebaine,Senior Staff,d003
10676,Valeri,Danley,Engineer,d005
10693,Berhard,Daescu,Senior Staff,d009
10702,Bader,Szemeredi,Senior Engineer,d005
10718,Adib,Rullman,Senior Engineer,d005
10726,Zita,Minakawa,Senior Engineer,d005
10734,Sachar,Erdi,Engineer,d004
10745,Poorav,Ranze,Senior Engineer,d004
10749,King,Brendel,Senior Engineer,d004
10767,Monique,Doering,Staff,d007
10768,Ishfaq,Candan,Senior Engineer,d004
10778,Selwyn,Merey,Senior Staff,d001
10791,Tadahiko,Sgarro,Senior Engineer,d005
10795,Supot,Naudin,Senior Staff,d007
10808,Chenxi,Leijenhorst,Senior Engineer,d005
10835,Tomoyuki,Kermarrec,Engineer,d004
10836,Jianhua,Leivant,Senior Staff,d009
10844,Dipayan,Koprowski,Engineer,d005
10847,Theirry,Danley,Senior Staff,d008
10848,Fen,Bratsberg,Senior Engineer,d004
10878,Lakshmi,Deville,Staff,d007
10879,Muzhong,Chleq,Senior Engineer,d005
10883,Shimshon,Champarnaud,Engineer,d004
10909,Georgi,Atchley,Senior Engineer,d005
10921,Mara,Bahi,Senior Engineer,d004
10924,Hironoby,Atchley,Senior Staff,d007
10927,Gal,Scallan,Senior Staff,d001
10936,Mountaz,Schicker,Senior Staff,d003
10943,Berna,Skafidas,Senior Engineer,d005
10965,Eckart,Braunschweig,Senior Staff,d007
10969,Premal,Noriega,Senior Engineer,d005
10974,Muneo,Papsdorf,Senior Engineer,d005
10986,Masako,Schiper,Technique Leader,d005
10988,Chinya,Deyuan,Senior Engineer,d005
10989,Sumali,Candan,Senior Staff,d002
10990,Shin,Foote,Technique Leader,d005
11009,Alper,Axelband,Senior Staff,d007
11012,Taegyun,Speckmann,Staff,d009
11019,Leon,Huttel,Senior Engineer,d005
11021,Srinidhi,Henders,Staff,d008
11027,Remzi,Cappello,Senior Engineer,d004
11031,Ottavia,Walstra,Senior Staff,d001
11037,Lansing,Maliniak,Senior Engineer,d004
11038,Jinya,Beidas,Senior Staff,d008
11042,Gou,Breugel,Senior Engineer,d005
11048,Jaques,Demke,Senior Staff,d007
11050,Elvis,Katiyar,Senior Staff,d001
11051,Przemyslawa,Erol,Senior Engineer,d004
11070,Adib,Raney,Senior Engineer,d006
11081,Barry,Boyle,Senior Staff,d002
11085,Hailing,Thummel,Senior Engineer,d004
11100,Berna,Cochrane,Senior Staff,d008
11106,Aris,Iwayama,Senior Engineer,d005
11112,Boaz,Mukaidono,Staff,d009
11113,Shahab,Peng,Senior Staff,d001
11121,Vugranam,Kakkad,Senior Engineer,d005
11133,Nalini,Azulay,Technique Leader,d006
11134,Sachar,Rajcani,Senior Engineer,d006
11137,Hugh,Luca,Engineer,d005
11139,Bogdan,Homond,Senior Staff,d009
11146,Ishfaq,Masand,Senior Staff,d007
11148,Zhanqiu,Botman,Senior Staff,d003
11162,Kauko,Narlikar,Senior Engineer,d005
11180,Mitsuyuki,Bojadziev,Senior Engineer,d005
11197,Tadahiro,Fordan,Senior Staff,d007
11204,Diederik,Covnot,Technique Leader,d004
11207,Saeed,Gips,Engineer,d005
11208,Saniya,Valtorta,Technique Leader,d004
11211,Yurij,Rissland,Senior Engineer,d004
11217,Kellie,Mawatari,Senior Engineer,d004
11232,Hidefumi,Crelier,Senior Staff,d009
11240,Kiam,Condotta,Engineer,d005
11249,Randi,Cyre,Engineer,d005
11251,Bezalel,Chinal,Senior Staff,d001
11268,Aimee,Petersohn,Senior Engineer,d004
11275,Hitomi,Eppinger,Senior Engineer,d005
11290,Visit,Dredge,Engineer,d005
11295,Abdelkader,Lanzelotte,Senior Staff,d002
11319,Pranas,Marrakchi,Assistant Engineer,d005
11320,Atilio,McAlpine,Senior Staff,d001
11322,Nathalie,Pocchiola,Senior Engineer,d006
11324,Kauko,Billingsley,Senior Engineer,d004
11338,Kwangsub,Hanratty,Senior Staff,d007
11339,Flemming,Massonet,Senior Engineer,d004
11347,Anneli,Jonsson,Senior Engineer,d005
11365,Toshimi,Shinomoto,Engineer,d004
11376,Valery,Suomi,Senior Staff,d008
11380,Kenroku,Pelc,Senior Engineer,d005
