emp_no,first_name,last_name,title,dept_no,dept_name
10001,Georgi,Facello,Senior Engineer,d005,Development
10004,Chirstian,Koblick,Senior Engineer,d004,Production
10009,Sumant,Peac,Senior Engineer,d006,Quality Management
10018,Kazuhide,Peha,Senior Engineer,d004,Production
10035,Alain,Chappelet,Senior Engineer,d004,Production
10053,Sanjiv,Zschoche,Senior Staff,d007,Sales
10058,Berhard,McFarlin,Senior Staff,d001,Marketing
10066,Kwee,Schusler,Senior Engineer,d005,Development
10067,Claudi,Stavenow,Senior Engineer,d006,Quality Management
10070,Reuven,Garigliano,Technique Leader,d008,Research
10072,Hironoby,Sidou,Senior Engineer,d005,Development
10076,Erez,Ritzmann,Senior Engineer,d005,Development
10088,Jungsoon,Syrzycki,Senior Staff,d009,Customer Service
10100,Hironobu,Haraldson,Senior Staff,d003,Human Resources
10103,Akemi,Birch,Engineer,d005,Development
10126,Kayoko,Valtorta,Senior Staff,d009,Customer Service
10129,Armond,Peir,Technique Leader,d005,Development
10130,Nishit,Casperson,Senior Engineer,d004,Production
10134,Diederik,Siprelle,Senior Engineer,d004,Production
10138,Perry,Shimshoni,Senior Engineer,d006,Quality Management
10150,Zhenbing,Perng,Senior Engineer,d005,Development
10153,Heekeun,Majewski,Assistant Engineer,d005,Development
10157,Nigel,Aloisi,Senior Engineer,d005,Development
10198,Pranav,Furedi,Senior Engineer,d005,Development
10215,Xiaobin,Duclos,Senior Staff,d007,Sales
10224,Leon,Trogemann,Senior Engineer,d004,Production
10233,Lein,Vendrig,Senior Staff,d003,Human Resources
10258,Basil,Ishibashi,Senior Engineer,d005,Development
10272,Yishai,Cannane,Staff,d002,Finance
10282,Hercules,Benzmuller,Engineer,d004,Production
10283,Kauko,Birjandi,Senior Engineer,d005,Development
10326,Masali,Czap,Staff,d008,Research
10340,Djelloul,Laventhal,Senior Staff,d001,Marketing
10347,Pradeep,Kaminger,Staff,d008,Research
10355,Satyanarayana,Cochrane,Staff,d007,Sales
10356,Vasilis,Standera,Senior Staff,d008,Research
10364,Nakhoon,Dengi,Senior Engineer,d004,Production
10372,Anneli,Frijda,Technique Leader,d004,Production
10387,Parto,Wrigley,Senior Staff,d009,Customer Service
10396,Sibyl,Rahier,Senior Engineer,d005,Development
10402,Volkmar,Ebeling,Technique Leader,d006,Quality Management
10404,Prodip,Rosti,Senior Engineer,d005,Development
10426,Arunas,Luce,Technique Leader,d005,Development
10429,Martien,Improta,Senior Engineer,d005,Development
10432,Hisao,Tiemann,Senior Staff,d009,Customer Service
10451,Bodh,Ranta,Senior Engineer,d004,Production
10453,Tsvetan,Matzel,Senior Staff,d009,Customer Service
10463,Ung,Zaiane,Staff,d007,Sales
10486,Amstein,Kossowski,Senior Engineer,d006,Quality Management
10494,Yakkov,Servieres,Senior Engineer,d004,Production
10504,Xiong,Varker,Staff,d007,Sales
10512,Udi,Gihr,Senior Staff,d003,Human Resources
10522,Marke,Cesareni,Senior Staff,d003,Human Resources
10548,Ramalingam,Gunderson,Senior Staff,d001,Marketing
10564,Jianhao,Thisen,Senior Engineer,d004,Production
10623,Aleksander,Danlos,Senior Engineer,d008,Research
10628,Krisda,Krogh,Senior Engineer,d005,Development
10631,Inderjeet,Chaudhuri,Engineer,d005,Development
10642,Hirochika,Narlikar,Engineer,d005,Development
10653,Otmar,Feinberg,Senior Engineer,d005,Development
10671,Parviz,Rebaine,Senior Staff,d003,Human Resources
10676,Valeri,Danley,Engineer,d005,Development
10693,Berhard,Daescu,Senior Staff,d009,Customer Service
10702,Bader,Szemeredi,Senior Engineer,d005,Development
10718,Adib,Rullman,Senior Engineer,d005,Development
10726,Zita,Minakawa,Senior Engineer,d005,Development
